instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿joh_b_purcell_001,﻿Most Rev.,﻿J. B. Purcell,﻿D.D.,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿e_t_collins_001,﻿Very Rev.,﻿E. T. Collins,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿e_parcell_001,﻿Very Rev.,﻿E. Purcell,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿David Whelan,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿s_h_rosecrans_002,﻿Rev.,﻿S. H. Rosecrans,﻿D.D.,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.104302,﻿-84.509612,,,,﻿cha_driscol_001,﻿Rev.,﻿Chas. Driscoll,﻿S.J.,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.104302,﻿-84.509612,,,,﻿fra_acmal_001,﻿Rev.,﻿F. Ackmal,﻿S.J.,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.104302,﻿-84.509612,,,,﻿r_roelof_001,﻿Rev.,﻿Roman Roelof,﻿S.J.,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.099897,﻿-84.523622,,,,﻿p_kroeger_001,﻿Rev.,﻿P. Krœger,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.099897,﻿-84.523622,,,,﻿j_h_ridder_001,﻿Rev.,﻿J. H. Ridder,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0006,﻿church,﻿St. Mary's,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.109579,﻿-84.512349,,,,﻿cle_hammer_001,﻿Rev.,﻿Clem. Hammer,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0006,﻿church,﻿St. Mary's,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.109579,﻿-84.512349,,,,﻿j_b_elkmann_001,﻿Rev.,﻿J. B. Elkman,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0008,﻿church,﻿St. Paul's,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.109871,﻿-84.506724,,,,﻿jos_ferneding_001,﻿V. Rev.,﻿J. Ferneding,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
