instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿First Mass at 8 o'clock, High Mass at 10 o'clock, A.M.; Vespers at 3 o'clock, P.M.",﻿State street,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,38.8953847,-90.1902021,,,,﻿hen_d_juncker_001,﻿Rt. Rev.,﻿H. D. Juncker,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿First Mass at 8 o'clock, High Mass at 10 o'clock, A.M.; Vespers at 3 o'clock, P.M.",﻿State street,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,38.8953847,-90.1902021,,,,﻿j_j_menge_002,﻿Rev.,﻿J. J. Menge,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿First Mass at 8 o'clock, High Mass at 10 o'clock, A.M.; Vespers at 3 o'clock, P.M.",﻿State street,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,38.8953847,-90.1902021,,,,﻿l_j_lambert_001,﻿Rev.,﻿Lewis Lambert,,,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0002,﻿church,﻿St. Mary's of the Immaculate Conception,﻿German,﻿High Mass at 10 o'clock; Vespers at 3 o'clock.,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,38.8911797,-90.1782179,,,,﻿f_ostrop_001,﻿Rev.,﻿Francis A. Ostrop,,,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0007,﻿church,[Unnamed Institution],English,﻿temporary church,,,﻿Christian County,﻿Christian County,﻿Assumption,﻿Assumption,﻿IL,,39.5034741,-89.0752499,,,,﻿cha_gonant_001,﻿Rev.,﻿Charles Gonant,,,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0336,﻿church,﻿St. Aloysius,English,,,,﻿Edgar County,﻿Cass County,﻿Baldwinsville,﻿Baldwinsville,﻿IL,,,,,,,﻿tho_ryan_003,﻿Rev.,﻿Thos. Ryan,,,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0042,﻿church,﻿St. Anthony's,English,,"﻿Broughtown, or Effingham Station",,﻿Effingham County,﻿Effingham County,"﻿Broughtown, or Effingham Station",﻿Effingham,﻿IL,,39.125549,-88.550418,﻿alt.il.0127,﻿Attended from Teutopolis,,,,,,,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0009,﻿church,﻿St. Alexius,English,,,,﻿Cass County,﻿Cass County,﻿Beardstown,﻿Beardstown,﻿IL,,40.0138223,-90.4339146,,,,﻿r_heimerling_001,﻿Rev.,﻿R. Heimerling,,﻿pro temp.,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0009,﻿church,﻿St. Alexius,English,,,,﻿Cass County,﻿Cass County,﻿Beardstown,﻿Beardstown,﻿IL,,40.0138223,-90.4339146,,,,﻿j_b_merl_003,﻿Rev.,﻿J. B. Merl,,,﻿being sick,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0010,﻿church,﻿St. Peter's,English,,,,﻿St. Clair County,﻿St. Clair County,﻿Belleville,﻿Belleville,﻿IL,,38.5267145,-89.9855388,,,,﻿p_j_baltes_001,﻿Rev.,﻿P. J. Baltes,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Alton,Alton
﻿alt.il.0010,﻿church,﻿St. Peter's,English,,,,﻿St. Clair County,﻿St. Clair County,﻿Belleville,﻿Belleville,﻿IL,,38.5267145,-89.9855388,,,,﻿f_blessinger_001,﻿Rev.,﻿F. J. Bloessinger,,,,,,,,1860,﻿,﻿,﻿Alton,Alton
